#,#
% of total,Жами %
(no name),(исмсиз)
Open the booked invoice,Китобга олинган ҳисоб-фактурани очиш
Open tickets,Очиқ тикетлар
Open work per step · average wait against that step's threshold,Ҳар босқичдаги очиқ ишлар · ўртача кутиш босқич чегарасига нисбатан
Opened,Очилди
Opening,Очилиш
Opening Balance,Бошланғич қолдиқ
Opening balance,Очилиш балансы
"Opening balance, period movement, and running balance by account.",
Opening balances,Очилиш балансларн
Opening date,
Opening qty,Бошланғич миқдор
"Opening, in, out and closing quantity per item over a date range.","Сана оралиғида ҳар бир маҳсулот бўйича бошланғич, кирим, чиқим ва якуний миқдор."
Operational,Операцион
Operations,Операциялар
Operations desk,Операцион стол
Operations desk →,Операцион стол →
Operator,Оператор
Operator Kiosk,
Optional,Ихтиёрий
optional,Ихтиёрий
Optional note (leave blank to skip):,
Order,
Order #,Буюртма №
Order Date,Буюртма санаси
Order date,Буюртма санаси
Order number or supplier…,
Ordered,
Orders,Буюртмалар
orders,
Orders with advance,Авансли буюртмалар
"Orders, stock, purchasing, production and accounting run on one data model. Every number on screen has a document behind it.","Буюртма, омбор, харид, ишлаб чиқариш ва ҳисоб битта маълумот моделида ишлайди. Экрандаги ҳар бир рақам ортида ҳужжат бор."
Org chart,
Organization,Ташкилот
Orientation,Йўналиш
Origin,
Original GTD {0} not found.,Асл ГТД {0} топилмади.
Original qty,Асосий миқдори
OSA,Ўринда сотувга ҳозирлик
OSA %,Ўринда сотувга ҳозирлик %
OSA Audit name is required.,Ўринда сотувга ҳозирлик аудит номи керак.
OSA Audits,Ўринда сотувга ҳозирлик аудитлари
OT (min),
OT flag,
OT method,
OT threshold (min),
Other,Бошқа
Other Charge,Бошқа харажатлар
Other cost,Бошқа харажат
Other costs (before profit),Бошқа харажатлар (фойдадан олдин)
Other expenses,Бошқа харажатлар
Out,Чиқиш
Out of stock,Омборда йўқ
out of stock,омборда йўқ
Out of the target range — a QC note is required to save.,Мақсадли диапазондан ташқарида — сақлаш учун сифат назорати изоҳи керак.
Out time,Чиқиш вақти
Out-of-sequence approval,
Outflow,Чиқиш
Outlet,Чўнтак
Outlet Class,Чўнтак синфи
Outlet class,Нуқта класси
Outlet Code,Чўнтак коди
Outlet code,Чўнтак коди
Outlet code is required.,Чўнтак коди керак.
Outlet is required.,Чўнтак керак.
Outlet Locations,Нуқта жойлашуви
Outlet locations,Нуқта жойлашуви
Outlet Name,Чўнтак номи
Outlet name (e.g. OUT-001),Чўнтак номи (масалан OUT-001).
Outlet name is required.,Чўнтак номи керак.
Outlet Type,Нуқта тури
Outlet {0} appears twice on this route.,Чўнтак {0} бу йўналишда икки марта қўлланилди.
Outlets,Чўнтаклар
Outstanding,Ишдан кетган
Outstanding advance,Аванс қолдиғи
Outstanding Balance,Қолган Қарз Баланси
Outstanding customer balances for field teams.,
Outstanding salary payable,Тўланмаган ойлик
OVD,КЧК
over cheapest bid,энг арзон таклифдан ортиқча
Over SLA,SLA дан ташқари
Over-allocated,Ортиқча ажратилган
Over-shipped,Ортиқча жўнатилган
over-shipped,ортиқча юкланган
over-shipped by key: -{count} boxes,калит бўйича ортиқча юклаш: -{count} қути
over-shipped keys,ортиқча калитлар
Over-shipped products,Ортиқча жўнатилган маҳсулотлар
Overall Invoiced Progress,Умумий ҳисоб-фактура жараёни
Overdue,Муддати ўтган
overdue,кечикди
Overdue bids,Муддати ўтган таклифлар
Overdue installments,Муддати ўтган тўловлар
Overdue only,Фақат муддати ўтганлар
Override (preview only),Ўзгартириш (фақат кўриш)
Override qty must be greater than zero,Қўллаш миқдори нолдан катта бўлиши керак
Override role,
Override — submit despite low stock (admin),Бекор қилиш — кам қолдиқда ҳам юбориш (admin)
Overtime,Ортиқча иш
Overtime (min),Қўшимча (дақ.)
Overtime multiplier,Қўшимча иш коэффициенти
Overview,Умумий кўриниш
Owes us,Бизга қарздор
Own,Ўзи
Owner,Масъул
